YB,F8,u_F8,e_F8,F12,u_F12,e_F12,F24,u_F24,e_F24,F70,u_F70,e_F70,F160,u_F160,e_F160,F250,u_F250,e_F250,F350,u_F350,e_F350,F500,u_F500,e_F500,F870,u_F870,e_F870,F1100,u_F1100,e_F1100,Multiple Sources,No Obvious Source 8,No Obvious Source 12,No Obvious Source 24,No Obvious Source 70,No Obvious Source 160,No Obvious Source 250,No Obvious Source 350,No Obvious Source 500,No Obvious Source 870,No Obvious Source 1100,Poor Confidence 8,Poor Confidence 12,Poor Confidence 24,Poor Confidence 70,Poor Confidence 160,Poor Confidence 250,Poor Confidence 350,Poor Confidence 500,Poor Confidence 870,Poor Confidence 1100,Very Circular,RMS,WISE Q,"WISE C,G,K",CORNISH,No Association
6,1.719782,0.4132253747,0.2402777647,0.242828,0.1261489896,0.5194993558,,,,148.874858,36.46803648,0.2449576575,439.18,25.311,0.057632407723426864,268.57,22.02,0.08198979952252178,129.417,7.068,0.05461415,42.295,,,2.21,,,2.238,0.15,0.067024134,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
7,9.04213,3.621233764,0.4004845942,2.053582,1.169851115,0.5696636975,,,,488.787014,180.828703,0.3699539836,816.32,35.388,0.043350647403323755,322.035,20.467,0.06355520068922657,138.776,9.22,0.066438004,48.742,3.114,0.06388741,6.78,,,8.146,0.513,0.0629757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,11.72239,2.660932349,0.2269957192,,,,,,,794.747732,120.5756991,0.1517156882,592.553,13.253,0.022365932261585737,544.083,32.965,0.06058818259822103,176.027,11.104,0.063081235,56.414,2.702,0.04789591,10.99,,,15.631,0.966,0.06180027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,1.11871,0.3082462329,0.2755372106,0.255976,0.04028411014,0.1573745591,2.518324,0.11128170169523476,0.04418879449,22.022814,2.13763234,0.09706445053,19.334,5.063,0.2618702907923324,18.703,1.914,0.10233652538802734,8.353,1.232,0.14749192,3.049,0.295,0.09675303,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,1.814066,0.2637087557,0.1453688872,0.80517,0.3792903034,0.4710685984,,,,279.174224,46.71315863,0.1673261878,352.424,17.399,0.04936950993078417,350.0,17.5,0.05,140.088,3.228,0.023042658,45.902,1.651,0.03596793,7.32,,,5.745,0.369,0.064229764,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
24,4.651214,0.3678399381,0.07908471597,,,,,,,2995.527498,318.5839971,0.1063532207,2475.227,65.685,0.026536959058136387,2546.248,95.696,0.037583141605023476,854.337,20.228,0.02367684,239.876,6.029,0.025133818,34.73,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,8.732726,1.669821565,0.19121424,,,,,,,572.49745,170.7866542,0.2983186286,766.939,40.482,0.05278385692161113,540.516,40.676,0.07525401410456702,145.78,56.338,0.38645905,,,,1.96,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,0.864948,0.1264329248,0.1461740183,0.22797,0.03968320551,0.1740720512,3.306926,0.44361652060781853,0.1341477011,98.50167,6.744931025,0.06847529615,191.445,3.719,0.01942594531635445,212.171,5.523,0.02603088906348544,74.94,1.455,0.019415533,22.391,0.545,0.024340136,3.54,,,3.058,0.226,0.07390451,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,0.311294,0.05985713183,0.1922848877,0.046132,0.01265716279,0.2743683949,0.708206,0.2313579617013036,0.3266817306,37.165124,3.959596346,0.1065406467,277.215,15.433,0.05567158923904147,288.249,12.392,0.04299060950207722,135.478,3.796,0.02801931,50.578,1.562,0.030882994,8.37,,,8.953,0.567,0.063330725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,0.263998,0.1076401179,0.407730808,0.039928,0.01534245645,0.3842530668,0.310636,0.0629001949785084,0.2024884269,7.699546,1.882876192,0.2445437942,44.869,3.106,0.06922373903127411,105.688,7.698,0.07283702931480994,68.948,5.051,0.07325811,26.398,3.365,0.12747177,3.02,,,5.137,0.321,0.062487833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
