Catalog,Color,log(Avg Color),N Sources,Quartile
CORNISH,F1100/F870,0.04±-0.158, 121, 100%
CORNISH,F1100/F500,-0.73±-0.907, 122, 100%
CORNISH,F1100/F350,-1.174±-1.31, 125, 100%
CORNISH,F1100/F250,-1.699±-1.796, 125, 100%
CORNISH,F1100/F160,-1.77±-1.854, 125, 100%
CORNISH,F1100/F70,-1.721±-1.699, 109, 100%
CORNISH,F1100/F24,-0.043±0.303, 46, 100%
CORNISH,F1100/F12,1.278±1.962, 74, 100%
CORNISH,F1100/F8,0.473±0.713, 94, 100%
CORNISH,F870/F500,-0.775±-1.18, 378, 100%
CORNISH,F870/F350,-1.194±-1.108, 405, 100%
CORNISH,F870/F250,-1.721±-1.854, 405, 100%
CORNISH,F870/F160,-1.77±-1.921, 405, 100%
CORNISH,F870/F70,-1.678±-1.523, 364, 100%
CORNISH,F870/F24,-0.181±0.03, 151, 100%
CORNISH,F870/F12,0.989±1.582, 267, 100%
CORNISH,F870/F8,0.303±0.573, 338, 100%
CORNISH,F500/F350,-0.435±-1.149, 457, 100%
CORNISH,F500/F250,-0.914±-1.328, 457, 100%
CORNISH,F500/F160,-0.959±-1.114, 457, 100%
CORNISH,F500/F70,-0.866±-0.638, 417, 100%
CORNISH,F500/F24,0.602±0.876, 192, 100%
CORNISH,F500/F12,1.744±2.365, 314, 100%
CORNISH,F500/F8,1.12±1.458, 388, 100%
CORNISH,F350/F250,-0.483±-0.975, 506, 100%
CORNISH,F350/F160,-0.529±-0.777, 506, 100%
CORNISH,F350/F70,-0.434±-0.184, 459, 100%
CORNISH,F350/F24,1.018±1.303, 218, 100%
CORNISH,F350/F12,2.17±2.835, 343, 100%
CORNISH,F350/F8,1.542±1.892, 428, 100%
CORNISH,F250/F160,-0.038±-0.317, 506, 100%
CORNISH,F250/F70,0.054±0.307, 459, 100%
CORNISH,F250/F24,1.511±1.827, 218, 100%
CORNISH,F250/F12,2.685±3.4, 343, 100%
CORNISH,F250/F8,2.02±2.312, 428, 100%
CORNISH,F160/F70,0.104±0.382, 459, 100%
CORNISH,F160/F24,1.546±1.907, 218, 100%
CORNISH,F160/F12,2.744±3.485, 343, 100%
CORNISH,F160/F8,2.126±2.521, 428, 100%
CORNISH,F70/F24,1.307±1.074, 206, 100%
CORNISH,F70/F12,2.392±2.498, 333, 100%
CORNISH,F70/F8,1.996±2.188, 410, 100%
CORNISH,F24/F12,1.03±0.877, 203, 100%
CORNISH,F24/F8,0.614±0.5, 187, 100%
CORNISH,F12/F8,-0.359±-0.636, 309, 100%
