Catalog,Color,log(Avg Color),N Sources,Quartile
RMS,F1100/F870,0.034±-0.094, 147, 100%
RMS,F1100/F500,-0.767±-1.018, 172, 100%
RMS,F1100/F350,-1.222±-1.469, 174, 100%
RMS,F1100/F250,-1.721±-1.854, 174, 100%
RMS,F1100/F160,-1.699±-1.678, 174, 100%
RMS,F1100/F70,-1.699±-1.658, 145, 100%
RMS,F1100/F24,-0.005±0.542, 71, 100%
RMS,F1100/F12,1.101±1.897, 98, 100%
RMS,F1100/F8,0.307±0.569, 142, 100%
RMS,F870/F500,-0.775±-1.237, 368, 100%
RMS,F870/F350,-1.194±-1.102, 390, 100%
RMS,F870/F250,-1.721±-1.886, 390, 100%
RMS,F870/F160,-1.77±-1.886, 390, 100%
RMS,F870/F70,-1.678±-1.553, 348, 100%
RMS,F870/F24,-0.081±0.39, 139, 100%
RMS,F870/F12,0.955±1.609, 255, 100%
RMS,F870/F8,0.307±0.532, 339, 100%
RMS,F500/F350,-0.434±-1.086, 453, 100%
RMS,F500/F250,-0.91±-1.229, 453, 100%
RMS,F500/F160,-0.928±-0.893, 453, 100%
RMS,F500/F70,-0.708±0.126, 405, 100%
RMS,F500/F24,0.634±1.119, 176, 100%
RMS,F500/F12,1.729±2.411, 300, 100%
RMS,F500/F8,1.098±1.373, 394, 100%
RMS,F350/F250,-0.48±-0.939, 496, 100%
RMS,F350/F160,-0.51±-0.602, 496, 100%
RMS,F350/F70,-0.312±0.461, 444, 100%
RMS,F350/F24,1.064±1.584, 196, 100%
RMS,F350/F12,2.168±2.885, 326, 100%
RMS,F350/F8,1.525±1.809, 431, 100%
RMS,F250/F160,-0.038±-0.352, 496, 100%
RMS,F250/F70,0.125±0.765, 444, 100%
RMS,F250/F24,1.544±2.048, 196, 100%
RMS,F250/F12,2.681±3.432, 326, 100%
RMS,F250/F8,2.025±2.321, 431, 100%
RMS,F160/F70,0.123±0.499, 444, 100%
RMS,F160/F24,1.546±2.029, 196, 100%
RMS,F160/F12,2.726±3.501, 326, 100%
RMS,F160/F8,2.09±2.394, 431, 100%
RMS,F70/F24,1.164±1.004, 179, 100%
RMS,F70/F12,2.334±2.446, 316, 100%
RMS,F70/F8,1.988±2.193, 403, 100%
RMS,F24/F12,1.038±0.836, 174, 100%
RMS,F24/F8,0.692±0.534, 172, 100%
RMS,F12/F8,-0.332±-0.572, 304, 100%
