Catalog,Color,log(Avg Color),N Sources,Quartile
WISE Q,F1100/F870,-0.025±-0.203, 137, 100%
WISE Q,F1100/F500,-0.842±-1.022, 201, 100%
WISE Q,F1100/F350,-1.222±-1.367, 205, 100%
WISE Q,F1100/F250,-1.638±-1.745, 205, 100%
WISE Q,F1100/F160,-1.523±-1.538, 205, 100%
WISE Q,F1100/F70,-1.244±-1.076, 163, 100%
WISE Q,F1100/F24,0.285±0.643, 155, 100%
WISE Q,F1100/F12,0.842±1.091, 135, 100%
WISE Q,F1100/F8,0.284±0.507, 154, 100%
WISE Q,F870/F500,-0.804±-1.229, 349, 100%
WISE Q,F870/F350,-1.208±-1.62, 368, 100%
WISE Q,F870/F250,-1.638±-1.921, 368, 100%
WISE Q,F870/F160,-1.523±-1.523, 368, 100%
WISE Q,F870/F70,-1.31±-1.237, 315, 100%
WISE Q,F870/F24,0.155±0.275, 283, 100%
WISE Q,F870/F12,0.819±0.985, 280, 100%
WISE Q,F870/F8,0.248±0.471, 306, 100%
WISE Q,F500/F350,-0.375±-0.955, 769, 100%
WISE Q,F500/F250,-0.783±-1.143, 769, 100%
WISE Q,F500/F160,-0.64±-0.302, 769, 100%
WISE Q,F500/F70,-0.475±-0.348, 671, 100%
WISE Q,F500/F24,0.997±1.206, 638, 100%
WISE Q,F500/F12,1.529±1.729, 595, 100%
WISE Q,F500/F8,0.979±1.144, 632, 100%
WISE Q,F350/F250,-0.41±-0.759, 908, 100%
WISE Q,F350/F160,-0.291±0.009, 908, 100%
WISE Q,F350/F70,-0.122±0.08, 793, 100%
WISE Q,F350/F24,1.327±1.53, 751, 100%
WISE Q,F350/F12,1.876±2.089, 699, 100%
WISE Q,F350/F8,1.334±1.524, 740, 100%
WISE Q,F250/F160,0.09±0.232, 908, 100%
WISE Q,F250/F70,0.278±0.366, 793, 100%
WISE Q,F250/F24,1.722±1.9, 751, 100%
WISE Q,F250/F12,2.296±2.523, 699, 100%
WISE Q,F250/F8,1.761±1.965, 740, 100%
WISE Q,F160/F70,0.236±0.143, 793, 100%
WISE Q,F160/F24,1.685±1.816, 751, 100%
WISE Q,F160/F12,2.265±2.455, 699, 100%
WISE Q,F160/F8,1.737±1.897, 740, 100%
WISE Q,F70/F24,1.438±1.161, 701, 100%
WISE Q,F70/F12,2.043±2.095, 677, 100%
WISE Q,F70/F8,1.518±1.567, 700, 100%
WISE Q,F24/F12,0.667±0.66, 632, 100%
WISE Q,F24/F8,0.155±0.154, 646, 100%
WISE Q,F12/F8,-0.485±-0.983, 642, 100%
