Catalog,Color,log(Avg Color),N Sources,Quartile
WISE CGK,F1100/F870,0.051±-0.053, 293, 100%
WISE CGK,F1100/F500,-0.78±-0.967, 326, 100%
WISE CGK,F1100/F350,-1.201±-1.347, 336, 100%
WISE CGK,F1100/F250,-1.658±-1.796, 336, 100%
WISE CGK,F1100/F160,-1.201±-0.137, 336, 100%
WISE CGK,F1100/F70,-1.602±-1.481, 277, 100%
WISE CGK,F1100/F24,-0.013±0.333, 178, 100%
WISE CGK,F1100/F12,1.059±1.769, 196, 100%
WISE CGK,F1100/F8,0.361±0.61, 256, 100%
WISE CGK,F870/F500,-0.79±-1.215, 512, 100%
WISE CGK,F870/F350,-1.187±-1.06, 550, 100%
WISE CGK,F870/F250,-1.699±-1.886, 550, 100%
WISE CGK,F870/F160,-1.319±-0.19, 550, 100%
WISE CGK,F870/F70,-1.602±-1.444, 480, 100%
WISE CGK,F870/F24,-0.068±0.267, 268, 100%
WISE CGK,F870/F12,0.937±1.541, 355, 100%
WISE CGK,F870/F8,0.307±0.534, 443, 100%
WISE CGK,F500/F350,-0.413±-0.996, 693, 100%
WISE CGK,F500/F250,-0.86±-1.161, 693, 100%
WISE CGK,F500/F160,-0.465±0.723, 693, 100%
WISE CGK,F500/F70,-0.772±-0.595, 601, 100%
WISE CGK,F500/F24,0.729±1.121, 375, 100%
WISE CGK,F500/F12,1.669±2.303, 457, 100%
WISE CGK,F500/F8,1.078±1.349, 550, 100%
WISE CGK,F350/F250,-0.453±-0.87, 783, 100%
WISE CGK,F350/F160,-0.146±1.004, 783, 100%
WISE CGK,F350/F70,-0.351±-0.109, 676, 100%
WISE CGK,F350/F24,1.102±1.428, 432, 100%
WISE CGK,F350/F12,2.083±2.768, 503, 100%
WISE CGK,F350/F8,1.478±1.752, 613, 100%
WISE CGK,F250/F160,0.099±0.828, 783, 100%
WISE CGK,F250/F70,0.128±0.55, 676, 100%
WISE CGK,F250/F24,1.55±1.873, 432, 100%
WISE CGK,F250/F12,2.571±3.324, 503, 100%
WISE CGK,F250/F8,1.954±2.238, 613, 100%
WISE CGK,F160/F70,0.13±0.36, 676, 100%
WISE CGK,F160/F24,1.556±1.843, 432, 100%
WISE CGK,F160/F12,2.614±3.405, 503, 100%
WISE CGK,F160/F8,2.005±2.326, 613, 100%
WISE CGK,F70/F24,1.336±1.124, 396, 100%
WISE CGK,F70/F12,2.276±2.401, 489, 100%
WISE CGK,F70/F8,1.871±2.075, 575, 100%
WISE CGK,F24/F12,0.907±0.761, 354, 100%
WISE CGK,F24/F8,0.48±0.367, 354, 100%
WISE CGK,F12/F8,-0.391±-0.695, 435, 100%
