Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.029±-0.137, 157, 0-25%
All Sources,F1100/F500,-0.745±-0.924, 202, 0-25%
All Sources,F1100/F350,-1.187±-1.292, 209, 0-25%
All Sources,F1100/F250,-1.678±-1.638, 209, 0-25%
All Sources,F1100/F160,-1.108±-0.035, 209, 0-25%
All Sources,F1100/F70,-1.886±-1.921, 171, 0-25%
All Sources,F1100/F24,-0.293±0.073, 140, 0-25%
All Sources,F1100/F12,0.986±1.839, 129, 0-25%
All Sources,F1100/F8,0.195±0.581, 159, 0-25%
All Sources,F870/F500,-0.754±-1.137, 353, 0-25%
All Sources,F870/F350,-1.174±-1.018, 378, 0-25%
All Sources,F870/F250,-1.721±-1.796, 378, 0-25%
All Sources,F870/F160,-1.276±-0.109, 378, 0-25%
All Sources,F870/F70,-1.824±-1.523, 325, 0-25%
All Sources,F870/F24,0.03±0.926, 246, 0-25%
All Sources,F870/F12,0.804±1.561, 261, 0-25%
All Sources,F870/F8,0.208±0.634, 307, 0-25%
All Sources,F500/F350,-0.437±-1.018, 818, 0-25%
All Sources,F500/F250,-0.936±-1.268, 818, 0-25%
All Sources,F500/F160,-0.6±0.687, 818, 0-25%
All Sources,F500/F70,-0.967±-0.73, 706, 0-25%
All Sources,F500/F24,0.635±1.429, 617, 0-25%
All Sources,F500/F12,1.461±2.217, 591, 0-25%
All Sources,F500/F8,0.895±1.282, 667, 0-25%
All Sources,F350/F250,-0.502±-0.951, 980, 0-25%
All Sources,F350/F160,-0.298±0.955, 980, 0-25%
All Sources,F350/F70,-0.539±-0.298, 849, 0-25%
All Sources,F350/F24,1.095±1.976, 748, 0-25%
All Sources,F350/F12,1.845±2.668, 706, 0-25%
All Sources,F350/F8,1.312±1.783, 796, 0-25%
All Sources,F250/F160,-0.041±0.777, 980, 0-25%
All Sources,F250/F70,-0.02±0.205, 849, 0-25%
All Sources,F250/F24,1.633±2.562, 748, 0-25%
All Sources,F250/F12,2.39±3.24, 706, 0-25%
All Sources,F250/F8,1.855±2.346, 796, 0-25%
All Sources,F160/F70,0.157±0.363, 849, 0-25%
All Sources,F160/F24,1.761±2.616, 748, 0-25%
All Sources,F160/F12,2.505±3.326, 706, 0-25%
All Sources,F160/F8,1.979±2.417, 796, 0-25%
All Sources,F70/F24,1.367±1.272, 695, 0-25%
All Sources,F70/F12,2.246±2.46, 678, 0-25%
All Sources,F70/F8,1.849±2.139, 739, 0-25%
All Sources,F24/F12,0.844±0.759, 629, 0-25%
All Sources,F24/F8,0.418±0.367, 648, 0-25%
All Sources,F12/F8,-0.407±-0.75, 635, 0-25%
