Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.066±0.005, 157, 0-25%
All Sources,F1100/F500,-0.788±-0.959, 202, 0-25%
All Sources,F1100/F350,-1.174±-1.328, 209, 0-25%
All Sources,F1100/F250,-1.569±-1.721, 209, 0-25%
All Sources,F1100/F160,-1.319±-1.114, 209, 0-25%
All Sources,F1100/F70,-1.041±-0.796, 171, 0-25%
All Sources,F1100/F24,0.545±0.749, 140, 0-25%
All Sources,F1100/F12,1.405±2.068, 129, 0-25%
All Sources,F1100/F8,0.621±0.826, 159, 0-25%
All Sources,F870/F500,-0.807±-1.237, 353, 0-25%
All Sources,F870/F350,-1.194±-1.108, 378, 0-25%
All Sources,F870/F250,-1.638±-1.921, 378, 0-25%
All Sources,F870/F160,-1.469±-1.398, 378, 0-25%
All Sources,F870/F70,-1.143±-0.757, 325, 0-25%
All Sources,F870/F24,0.491±0.961, 246, 0-25%
All Sources,F870/F12,1.304±1.78, 261, 0-25%
All Sources,F870/F8,0.556±0.734, 307, 0-25%
All Sources,F500/F350,-0.38±-0.959, 818, 0-25%
All Sources,F500/F250,-0.764±-1.06, 818, 0-25%
All Sources,F500/F160,-0.32±0.69, 818, 0-25%
All Sources,F500/F70,-0.151±0.161, 706, 0-25%
All Sources,F500/F24,1.406±1.732, 617, 0-25%
All Sources,F500/F12,2.001±2.691, 591, 0-25%
All Sources,F500/F8,1.364±1.565, 667, 0-25%
All Sources,F350/F250,-0.394±-0.842, 980, 0-25%
All Sources,F350/F160,-0.02±0.957, 980, 0-25%
All Sources,F350/F70,0.184±0.477, 849, 0-25%
All Sources,F350/F24,1.729±2.097, 748, 0-25%
All Sources,F350/F12,2.391±2.974, 706, 0-25%
All Sources,F350/F8,1.726±1.937, 796, 0-25%
All Sources,F250/F160,0.249±0.803, 980, 0-25%
All Sources,F250/F70,0.534±0.846, 849, 0-25%
All Sources,F250/F24,2.101±2.605, 748, 0-25%
All Sources,F250/F12,2.82±3.437, 706, 0-25%
All Sources,F250/F8,2.134±2.381, 796, 0-25%
All Sources,F160/F70,0.354±0.729, 849, 0-25%
All Sources,F160/F24,1.931±2.619, 748, 0-25%
All Sources,F160/F12,2.747±3.452, 706, 0-25%
All Sources,F160/F8,2.084±2.481, 796, 0-25%
All Sources,F70/F24,1.425±1.216, 695, 0-25%
All Sources,F70/F12,2.263±2.491, 678, 0-25%
All Sources,F70/F8,1.814±2.08, 739, 0-25%
All Sources,F24/F12,0.843±0.806, 629, 0-25%
All Sources,F24/F8,0.321±0.3, 648, 0-25%
All Sources,F12/F8,-0.474±-0.66, 635, 0-25%
