Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.034±-0.076, 630, 100%
All Sources,F1100/F500,-0.796±-0.959, 810, 100%
All Sources,F1100/F350,-1.18±-1.301, 838, 100%
All Sources,F1100/F250,-1.602±-1.638, 838, 100%
All Sources,F1100/F160,-1.319±-0.333, 838, 100%
All Sources,F1100/F70,-1.161±-0.866, 686, 100%
All Sources,F1100/F24,0.392±0.829, 561, 100%
All Sources,F1100/F12,1.149±1.806, 516, 100%
All Sources,F1100/F8,0.455±0.696, 636, 100%
All Sources,F870/F500,-0.788±-1.161, 1415, 100%
All Sources,F870/F350,-1.18±-1.187, 1515, 100%
All Sources,F870/F250,-1.638±-1.854, 1515, 100%
All Sources,F870/F160,-1.409±-0.409, 1515, 100%
All Sources,F870/F70,-1.187±-0.833, 1301, 100%
All Sources,F870/F24,0.355±0.802, 985, 100%
All Sources,F870/F12,1.1±1.622, 1044, 100%
All Sources,F870/F8,0.408±0.62, 1230, 100%
All Sources,F500/F350,-0.371±-0.947, 3274, 100%
All Sources,F500/F250,-0.77±-1.081, 3274, 100%
All Sources,F500/F160,-0.553±0.391, 3274, 100%
All Sources,F500/F70,-0.291±0.297, 2825, 100%
All Sources,F500/F24,1.204±1.553, 2470, 100%
All Sources,F500/F12,1.723±2.413, 2364, 100%
All Sources,F500/F8,1.159±1.393, 2669, 100%
All Sources,F350/F250,-0.407±-0.815, 3923, 100%
All Sources,F350/F160,-0.226±0.659, 3923, 100%
All Sources,F350/F70,0.052±0.626, 3397, 100%
All Sources,F350/F24,1.533±1.88, 2994, 100%
All Sources,F350/F12,2.096±2.706, 2827, 100%
All Sources,F350/F8,1.508±1.759, 3186, 100%
All Sources,F250/F160,0.121±0.516, 3923, 100%
All Sources,F250/F70,0.432±1.036, 3397, 100%
All Sources,F250/F24,1.915±2.347, 2994, 100%
All Sources,F250/F12,2.519±3.165, 2827, 100%
All Sources,F250/F8,1.922±2.196, 3186, 100%
All Sources,F160/F70,0.327±0.975, 3397, 100%
All Sources,F160/F24,1.81±2.337, 2994, 100%
All Sources,F160/F12,2.467±3.172, 2827, 100%
All Sources,F160/F8,1.881±2.252, 3186, 100%
All Sources,F70/F24,1.397±1.223, 2781, 100%
All Sources,F70/F12,2.083±2.351, 2712, 100%
All Sources,F70/F8,1.614±1.915, 2958, 100%
All Sources,F24/F12,0.716±0.772, 2517, 100%
All Sources,F24/F8,0.235±0.286, 2595, 100%
All Sources,F12/F8,-0.46±-0.625, 2540, 100%
