Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,-0.0±-0.22, 158, 25-50%
All Sources,F1100/F500,-0.821±-1.041, 203, 25-50%
All Sources,F1100/F350,-1.194±-1.31, 210, 25-50%
All Sources,F1100/F250,-1.62±-1.62, 210, 25-50%
All Sources,F1100/F160,-1.538±-1.538, 210, 25-50%
All Sources,F1100/F70,-1.137±-0.833, 172, 25-50%
All Sources,F1100/F24,0.332±0.68, 140, 25-50%
All Sources,F1100/F12,1.167±2.056, 129, 25-50%
All Sources,F1100/F8,0.377±0.65, 159, 25-50%
All Sources,F870/F500,-0.793±-1.18, 354, 25-50%
All Sources,F870/F350,-1.208±-1.602, 379, 25-50%
All Sources,F870/F250,-1.658±-1.959, 379, 25-50%
All Sources,F870/F160,-1.569±-1.553, 379, 25-50%
All Sources,F870/F70,-1.125±-0.678, 325, 25-50%
All Sources,F870/F24,0.273±0.59, 246, 25-50%
All Sources,F870/F12,1.195±1.808, 261, 25-50%
All Sources,F870/F8,0.358±0.532, 308, 25-50%
All Sources,F500/F350,-0.373±-0.951, 819, 25-50%
All Sources,F500/F250,-0.775±-1.092, 819, 25-50%
All Sources,F500/F160,-0.611±-0.298, 819, 25-50%
All Sources,F500/F70,-0.219±0.096, 706, 25-50%
All Sources,F500/F24,1.209±1.551, 618, 25-50%
All Sources,F500/F12,1.718±2.64, 591, 25-50%
All Sources,F500/F8,1.147±1.341, 667, 25-50%
All Sources,F350/F250,-0.409±-0.851, 981, 25-50%
All Sources,F350/F160,-0.273±-0.117, 981, 25-50%
All Sources,F350/F70,0.113±0.373, 849, 25-50%
All Sources,F350/F24,1.538±1.8, 749, 25-50%
All Sources,F350/F12,2.138±2.887, 707, 25-50%
All Sources,F350/F8,1.495±1.692, 797, 25-50%
All Sources,F250/F160,0.118±0.233, 981, 25-50%
All Sources,F250/F70,0.487±0.712, 849, 25-50%
All Sources,F250/F24,1.911±2.13, 749, 25-50%
All Sources,F250/F12,2.601±3.345, 707, 25-50%
All Sources,F250/F8,1.919±2.156, 797, 25-50%
All Sources,F160/F70,0.384±0.518, 849, 25-50%
All Sources,F160/F24,1.786±1.9, 749, 25-50%
All Sources,F160/F12,2.564±3.376, 707, 25-50%
All Sources,F160/F8,1.868±2.168, 797, 25-50%
All Sources,F70/F24,1.388±1.174, 695, 25-50%
All Sources,F70/F12,2.089±2.364, 678, 25-50%
All Sources,F70/F8,1.599±1.685, 740, 25-50%
All Sources,F24/F12,0.723±0.748, 629, 25-50%
All Sources,F24/F8,0.221±0.276, 649, 25-50%
All Sources,F12/F8,-0.45±-0.79, 635, 25-50%
