Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.014±-0.1, 157, 50-75%
All Sources,F1100/F500,-0.83±-0.959, 202, 50-75%
All Sources,F1100/F350,-1.187±-1.237, 209, 50-75%
All Sources,F1100/F250,-1.569±-1.62, 209, 50-75%
All Sources,F1100/F160,-1.444±-1.409, 209, 50-75%
All Sources,F1100/F70,-1.208±-1.046, 171, 50-75%
All Sources,F1100/F24,0.266±0.458, 140, 50-75%
All Sources,F1100/F12,0.892±1.077, 129, 50-75%
All Sources,F1100/F8,0.425±0.63, 159, 50-75%
All Sources,F870/F500,-0.799±-1.161, 354, 50-75%
All Sources,F870/F350,-1.194±-1.509, 379, 50-75%
All Sources,F870/F250,-1.602±-1.824, 379, 50-75%
All Sources,F870/F160,-1.523±-1.585, 379, 50-75%
All Sources,F870/F70,-1.215±-1.097, 325, 50-75%
All Sources,F870/F24,0.322±0.557, 246, 50-75%
All Sources,F870/F12,0.955±1.217, 261, 50-75%
All Sources,F870/F8,0.393±0.656, 307, 50-75%
All Sources,F500/F350,-0.351±-0.939, 818, 50-75%
All Sources,F500/F250,-0.73±-1.081, 818, 50-75%
All Sources,F500/F160,-0.569±-0.453, 818, 50-75%
All Sources,F500/F70,-0.223±0.461, 706, 50-75%
All Sources,F500/F24,1.276±1.596, 617, 50-75%
All Sources,F500/F12,1.702±2.258, 591, 50-75%
All Sources,F500/F8,1.151±1.319, 667, 50-75%
All Sources,F350/F250,-0.386±-0.824, 981, 50-75%
All Sources,F350/F160,-0.239±-0.207, 981, 50-75%
All Sources,F350/F70,0.193±0.496, 849, 50-75%
All Sources,F350/F24,1.606±1.878, 748, 50-75%
All Sources,F350/F12,1.99±2.744, 707, 50-75%
All Sources,F350/F8,1.475±1.609, 796, 50-75%
All Sources,F250/F160,0.131±0.057, 981, 50-75%
All Sources,F250/F70,0.547±0.8, 849, 50-75%
All Sources,F250/F24,1.959±2.193, 748, 50-75%
All Sources,F250/F12,2.387±3.015, 707, 50-75%
All Sources,F250/F8,1.854±1.978, 796, 50-75%
All Sources,F160/F70,0.41±0.568, 849, 50-75%
All Sources,F160/F24,1.805±1.935, 748, 50-75%
All Sources,F160/F12,2.276±2.79, 707, 50-75%
All Sources,F160/F8,1.749±1.867, 796, 50-75%
All Sources,F70/F24,1.389±1.167, 695, 50-75%
All Sources,F70/F12,1.908±2.236, 678, 50-75%
All Sources,F70/F8,1.423±1.315, 739, 50-75%
All Sources,F24/F12,0.612±0.846, 629, 50-75%
All Sources,F24/F8,0.174±0.254, 649, 50-75%
All Sources,F12/F8,-0.467±-0.848, 635, 50-75%
