Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.028±-0.095, 157, 50-75%
All Sources,F1100/F500,-0.799±-0.943, 202, 50-75%
All Sources,F1100/F350,-1.174±-1.276, 209, 50-75%
All Sources,F1100/F250,-1.602±-1.699, 209, 50-75%
All Sources,F1100/F160,-1.523±-1.509, 209, 50-75%
All Sources,F1100/F70,-1.26±-1.167, 171, 50-75%
All Sources,F1100/F24,0.355±0.481, 140, 50-75%
All Sources,F1100/F12,1.147±1.525, 129, 50-75%
All Sources,F1100/F8,0.478±0.622, 159, 50-75%
All Sources,F870/F500,-0.788±-1.208, 354, 50-75%
All Sources,F870/F350,-1.174±-1.143, 379, 50-75%
All Sources,F870/F250,-1.638±-1.959, 379, 50-75%
All Sources,F870/F160,-1.602±-1.745, 379, 50-75%
All Sources,F870/F70,-1.26±-0.883, 325, 50-75%
All Sources,F870/F24,0.373±0.943, 246, 50-75%
All Sources,F870/F12,1.088±1.612, 261, 50-75%
All Sources,F870/F8,0.387±0.565, 307, 50-75%
All Sources,F500/F350,-0.365±-0.991, 818, 50-75%
All Sources,F500/F250,-0.764±-1.18, 818, 50-75%
All Sources,F500/F160,-0.666±-0.717, 818, 50-75%
All Sources,F500/F70,-0.314±0.074, 706, 50-75%
All Sources,F500/F24,1.186±1.493, 617, 50-75%
All Sources,F500/F12,1.791±2.396, 591, 50-75%
All Sources,F500/F8,1.155±1.409, 667, 50-75%
All Sources,F350/F250,-0.405±-0.947, 981, 50-75%
All Sources,F350/F160,-0.311±-0.394, 981, 50-75%
All Sources,F350/F70,0.055±0.426, 849, 50-75%
All Sources,F350/F24,1.569±2.006, 748, 50-75%
All Sources,F350/F12,2.166±2.804, 707, 50-75%
All Sources,F350/F8,1.527±1.836, 796, 50-75%
All Sources,F250/F160,0.087±-0.082, 981, 50-75%
All Sources,F250/F70,0.46±0.818, 849, 50-75%
All Sources,F250/F24,1.989±2.572, 748, 50-75%
All Sources,F250/F12,2.614±3.3, 707, 50-75%
All Sources,F250/F8,1.965±2.346, 796, 50-75%
All Sources,F160/F70,0.394±0.723, 849, 50-75%
All Sources,F160/F24,1.941±2.616, 748, 50-75%
All Sources,F160/F12,2.577±3.282, 707, 50-75%
All Sources,F160/F8,1.935±2.37, 796, 50-75%
All Sources,F70/F24,1.494±1.291, 695, 50-75%
All Sources,F70/F12,2.12±2.557, 678, 50-75%
All Sources,F70/F8,1.592±2.023, 739, 50-75%
All Sources,F24/F12,0.616±0.878, 629, 50-75%
All Sources,F24/F8,0.074±0.164, 649, 50-75%
All Sources,F12/F8,-0.5±-0.724, 635, 50-75%
