Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.015±-0.15, 157, 50-75%
All Sources,F1100/F500,-0.81±-1.027, 202, 50-75%
All Sources,F1100/F350,-1.174±-1.319, 209, 50-75%
All Sources,F1100/F250,-1.585±-1.745, 209, 50-75%
All Sources,F1100/F160,-1.495±-1.553, 209, 50-75%
All Sources,F1100/F70,-1.215±-1.229, 171, 50-75%
All Sources,F1100/F24,0.319±0.386, 140, 50-75%
All Sources,F1100/F12,1.262±1.816, 129, 50-75%
All Sources,F1100/F8,0.481±0.593, 159, 50-75%
All Sources,F870/F500,-0.79±-1.194, 354, 50-75%
All Sources,F870/F350,-1.201±-1.569, 379, 50-75%
All Sources,F870/F250,-1.62±-1.959, 379, 50-75%
All Sources,F870/F160,-1.569±-1.854, 379, 50-75%
All Sources,F870/F70,-1.284±-1.237, 325, 50-75%
All Sources,F870/F24,0.282±0.336, 246, 50-75%
All Sources,F870/F12,1.189±1.691, 261, 50-75%
All Sources,F870/F8,0.428±0.605, 307, 50-75%
All Sources,F500/F350,-0.357±-1.009, 818, 50-75%
All Sources,F500/F250,-0.742±-1.208, 818, 50-75%
All Sources,F500/F160,-0.662±-0.963, 818, 50-75%
All Sources,F500/F70,-0.276±0.034, 706, 50-75%
All Sources,F500/F24,1.161±1.134, 617, 50-75%
All Sources,F500/F12,1.766±2.226, 591, 50-75%
All Sources,F500/F8,1.163±1.322, 667, 50-75%
All Sources,F350/F250,-0.388±-0.91, 981, 50-75%
All Sources,F350/F160,-0.305±-0.618, 981, 50-75%
All Sources,F350/F70,0.084±0.363, 849, 50-75%
All Sources,F350/F24,1.521±1.504, 748, 50-75%
All Sources,F350/F12,2.146±2.611, 707, 50-75%
All Sources,F350/F8,1.526±1.731, 796, 50-75%
All Sources,F250/F160,0.095±-0.242, 981, 50-75%
All Sources,F250/F70,0.498±0.744, 849, 50-75%
All Sources,F250/F24,1.925±1.937, 748, 50-75%
All Sources,F250/F12,2.565±3.042, 707, 50-75%
All Sources,F250/F8,1.946±2.177, 796, 50-75%
All Sources,F160/F70,0.428±0.509, 849, 50-75%
All Sources,F160/F24,1.859±1.846, 748, 50-75%
All Sources,F160/F12,2.504±2.964, 707, 50-75%
All Sources,F160/F8,1.881±2.136, 796, 50-75%
All Sources,F70/F24,1.425±1.22, 695, 50-75%
All Sources,F70/F12,2.012±2.326, 678, 50-75%
All Sources,F70/F8,1.473±1.576, 739, 50-75%
All Sources,F24/F12,0.651±0.898, 629, 50-75%
All Sources,F24/F8,0.11±0.208, 649, 50-75%
All Sources,F12/F8,-0.506±-0.453, 635, 50-75%
