Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.012±-0.187, 157, 50-75%
All Sources,F1100/F500,-0.812±-0.951, 202, 50-75%
All Sources,F1100/F350,-1.194±-1.292, 209, 50-75%
All Sources,F1100/F250,-1.602±-1.638, 209, 50-75%
All Sources,F1100/F160,-1.495±-1.523, 209, 50-75%
All Sources,F1100/F70,-1.215±-1.041, 171, 50-75%
All Sources,F1100/F24,0.238±0.396, 140, 50-75%
All Sources,F1100/F12,0.943±1.481, 129, 50-75%
All Sources,F1100/F8,0.27±0.464, 159, 50-75%
All Sources,F870/F500,-0.801±-1.252, 354, 50-75%
All Sources,F870/F350,-1.174±-1.174, 379, 50-75%
All Sources,F870/F250,-1.602±-1.77, 379, 50-75%
All Sources,F870/F160,-1.495±-1.456, 379, 50-75%
All Sources,F870/F70,-1.155±-0.833, 325, 50-75%
All Sources,F870/F24,0.224±0.48, 246, 50-75%
All Sources,F870/F12,0.838±1.049, 261, 50-75%
All Sources,F870/F8,0.244±0.341, 307, 50-75%
All Sources,F500/F350,-0.364±-0.959, 818, 50-75%
All Sources,F500/F250,-0.75±-1.036, 818, 50-75%
All Sources,F500/F160,-0.622±-0.558, 818, 50-75%
All Sources,F500/F70,-0.366±0.422, 706, 50-75%
All Sources,F500/F24,1.154±1.295, 617, 50-75%
All Sources,F500/F12,1.521±1.677, 591, 50-75%
All Sources,F500/F8,1.017±1.208, 667, 50-75%
All Sources,F350/F250,-0.394±-0.767, 981, 50-75%
All Sources,F350/F160,-0.272±-0.079, 981, 50-75%
All Sources,F350/F70,0.029±0.668, 849, 50-75%
All Sources,F350/F24,1.48±1.602, 748, 50-75%
All Sources,F350/F12,1.901±2.17, 707, 50-75%
All Sources,F350/F8,1.364±1.501, 796, 50-75%
All Sources,F250/F160,0.097±0.002, 981, 50-75%
All Sources,F250/F70,0.42±0.832, 849, 50-75%
All Sources,F250/F24,1.857±1.987, 748, 50-75%
All Sources,F250/F12,2.28±2.548, 707, 50-75%
All Sources,F250/F8,1.754±1.868, 796, 50-75%
All Sources,F160/F70,0.322±0.531, 849, 50-75%
All Sources,F160/F24,1.765±1.755, 748, 50-75%
All Sources,F160/F12,2.24±2.548, 707, 50-75%
All Sources,F160/F8,1.684±1.673, 796, 50-75%
All Sources,F70/F24,1.417±1.179, 695, 50-75%
All Sources,F70/F12,1.915±1.853, 678, 50-75%
All Sources,F70/F8,1.426±1.338, 739, 50-75%
All Sources,F24/F12,0.573±0.496, 629, 50-75%
All Sources,F24/F8,0.123±0.191, 649, 50-75%
All Sources,F12/F8,-0.467±-0.703, 635, 50-75%
