Catalog,Color,log(Avg Color),N Sources,Quartile
All Sources,F1100/F870,0.04±-0.093, 158, 75-100%
All Sources,F1100/F500,-0.845±-0.991, 203, 75-100%
All Sources,F1100/F350,-1.161±-1.301, 210, 75-100%
All Sources,F1100/F250,-1.469±-1.509, 210, 75-100%
All Sources,F1100/F160,-0.883±-0.036, 210, 75-100%
All Sources,F1100/F70,-0.783±-0.642, 172, 75-100%
All Sources,F1100/F24,0.73±1.083, 141, 75-100%
All Sources,F1100/F12,1.209±1.903, 129, 75-100%
All Sources,F1100/F8,0.608±0.801, 159, 75-100%
All Sources,F870/F500,-0.827±-1.237, 354, 75-100%
All Sources,F870/F350,-1.137±-1.102, 379, 75-100%
All Sources,F870/F250,-1.495±-1.824, 379, 75-100%
All Sources,F870/F160,-0.996±-0.11, 379, 75-100%
All Sources,F870/F70,-0.83±-0.633, 326, 75-100%
All Sources,F870/F24,0.656±0.904, 247, 75-100%
All Sources,F870/F12,1.222±1.546, 261, 75-100%
All Sources,F870/F8,0.558±0.63, 308, 75-100%
All Sources,F500/F350,-0.309±-0.907, 819, 75-100%
All Sources,F500/F250,-0.611±-0.971, 819, 75-100%
All Sources,F500/F160,-0.148±0.689, 819, 75-100%
All Sources,F500/F70,0.097±0.45, 707, 75-100%
All Sources,F500/F24,1.566±1.767, 618, 75-100%
All Sources,F500/F12,1.886±2.619, 591, 75-100%
All Sources,F500/F8,1.404±1.513, 668, 75-100%
All Sources,F350/F250,-0.301±-0.666, 981, 75-100%
All Sources,F350/F160,0.143±0.957, 981, 75-100%
All Sources,F350/F70,0.403±0.75, 850, 75-100%
All Sources,F350/F24,1.857±1.996, 749, 75-100%
All Sources,F350/F12,2.228±2.768, 707, 75-100%
All Sources,F350/F8,1.701±1.779, 797, 75-100%
All Sources,F250/F160,0.39±0.804, 981, 75-100%
All Sources,F250/F70,0.726±0.951, 850, 75-100%
All Sources,F250/F24,2.169±2.314, 749, 75-100%
All Sources,F250/F12,2.548±3.014, 707, 75-100%
All Sources,F250/F8,2.016±2.082, 797, 75-100%
All Sources,F160/F70,0.422±0.566, 850, 75-100%
All Sources,F160/F24,1.838±1.871, 749, 75-100%
All Sources,F160/F12,2.233±2.677, 707, 75-100%
All Sources,F160/F8,1.711±1.729, 797, 75-100%
All Sources,F70/F24,1.403±1.193, 696, 75-100%
All Sources,F70/F12,1.858±2.239, 678, 75-100%
All Sources,F70/F8,1.333±1.246, 740, 75-100%
All Sources,F24/F12,0.533±0.822, 630, 75-100%
All Sources,F24/F8,0.043±0.16, 649, 75-100%
All Sources,F12/F8,-0.487±-0.674, 635, 75-100%
