Catalog,Color,log(Avg Color),N Sources,Quartile
No Association,F1100/F870,0.035±-0.065, 178, 100%
No Association,F1100/F500,-0.796±-0.907, 248, 100%
No Association,F1100/F350,-1.137±-1.222, 261, 100%
No Association,F1100/F250,-1.509±-1.509, 261, 100%
No Association,F1100/F160,-1.328±-1.149, 261, 100%
No Association,F1100/F70,-0.863±-0.68, 220, 100%
No Association,F1100/F24,0.621±0.99, 210, 100%
No Association,F1100/F12,1.373±1.955, 171, 100%
No Association,F1100/F8,0.646±0.825, 201, 100%
No Association,F870/F500,-0.772±-1.086, 437, 100%
No Association,F870/F350,-1.143±-1.201, 469, 100%
No Association,F870/F250,-1.569±-1.824, 469, 100%
No Association,F870/F160,-1.387±-1.377, 469, 100%
No Association,F870/F70,-0.876±-0.616, 403, 100%
No Association,F870/F24,0.602±0.982, 380, 100%
No Association,F870/F12,1.339±1.785, 337, 100%
No Association,F870/F8,0.586±0.732, 376, 100%
No Association,F500/F350,-0.347±-0.939, 1651, 100%
No Association,F500/F250,-0.724±-1.051, 1651, 100%
No Association,F500/F160,-0.533±-0.417, 1651, 100%
No Association,F500/F70,-0.121±0.425, 1417, 100%
No Association,F500/F24,1.347±1.652, 1378, 100%
No Association,F500/F12,1.805±2.52, 1214, 100%
No Association,F500/F8,1.245±1.441, 1348, 100%
No Association,F350/F250,-0.385±-0.833, 2044, 100%
No Association,F350/F160,-0.214±-0.178, 2044, 100%
No Association,F350/F70,0.2±0.745, 1769, 100%
No Association,F350/F24,1.663±1.973, 1721, 100%
No Association,F350/F12,2.164±2.76, 1511, 100%
No Association,F350/F8,1.567±1.78, 1672, 100%
No Association,F250/F160,0.153±0.142, 2044, 100%
No Association,F250/F70,0.564±1.161, 1769, 100%
No Association,F250/F24,2.036±2.449, 1721, 100%
No Association,F250/F12,2.564±3.176, 1511, 100%
No Association,F250/F8,1.953±2.223, 1672, 100%
No Association,F160/F70,0.423±1.11, 1769, 100%
No Association,F160/F24,1.902±2.445, 1721, 100%
No Association,F160/F12,2.463±3.128, 1511, 100%
No Association,F160/F8,1.841±2.202, 1672, 100%
No Association,F70/F24,1.402±1.26, 1602, 100%
No Association,F70/F12,1.982±2.385, 1436, 100%
No Association,F70/F8,1.439±1.808, 1535, 100%
No Association,F24/F12,0.636±0.775, 1451, 100%
No Association,F24/F8,0.126±0.177, 1510, 100%
No Association,F12/F8,-0.483±-0.558, 1351, 100%
